CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SMPLNNBR,MEASYEAR,FORFLTHK,LTRLRTHK,FORFLTHKN,LTRLRTHKN,FORFLTHKS,LTRLRTHKS,FORFLTHKE,LTRLRTHKE,FORFLTHKW,LTRLRTHKW,CONDID,VSTNBR,TXTRLYR1,TXTRLYR2,DPTHSBSL,SOILS_STATCD,CREATED_DATE,MODIFIED_DATE
311810875489998,253419195010854,2011,72,1,6,2,2011,1.1,1.1,1.4,1.4,1.2,1.2,0.5,0.5,1.3,1.3,1,2,2.0,2.0,10.2,1,2015-03-17 15:12:14,
311810876489998,253419195010854,2011,72,1,6,3,2011,4.175,4.175,3.5,3.5,5.0,5.0,7.0,7.0,1.2,1.2,1,2,,,20.0,1,2015-03-17 15:12:14,
311810877489998,253419195010854,2011,72,1,6,4,2011,3.4,3.4,2.3,2.3,3.8,3.8,4.6,4.6,2.9,2.9,1,2,,,6.3,1,2015-03-17 15:12:14,
311817843489998,253419292010854,2011,72,9,1,2,2011,2.2,2.2,2.8,2.8,1.7,1.7,2.1,2.1,2.2,2.2,1,2,9.0,9.0,4.8,1,2015-03-17 15:12:15,
311817844489998,253419292010854,2011,72,9,1,3,2011,1.55,1.55,1.0,1.0,2.1,2.1,1.6,1.6,1.5,1.5,1,2,,,3.5,1,2015-03-17 15:12:15,
311817845489998,253419292010854,2011,72,9,1,4,2011,1.525,1.525,1.0,1.0,1.8,1.8,2.1,2.1,1.2,1.2,1,2,,,11.5,1,2015-03-17 15:12:15,
311816379489998,253419267010854,2011,72,13,4,4,2011,2.15,2.0,1.7,1.7,2.8,2.5,1.9,1.9,2.2,1.9,1,2,,,20.0,1,2015-03-17 15:12:15,
311811880489998,253419208010854,2011,72,9,2,2,2011,1.225,1.225,0.7,0.7,1.8,1.8,0.9,0.9,1.5,1.5,1,2,2.0,2.0,8.9,1,2015-03-17 15:12:14,
311811881489998,253419208010854,2011,72,9,2,3,2011,5.2,4.55,2.0,1.7,8.5,7.5,2.3,2.0,8.0,7.0,1,2,,,14.2,1,2015-03-17 15:12:14,
311811882489998,253419208010854,2011,72,9,2,4,2011,2.825,2.825,2.8,2.8,3.8,3.8,2.7,2.7,2.0,2.0,1,2,,,5.6,1,2015-03-17 15:12:14,
311816377489998,253419267010854,2011,72,13,4,2,2011,1.7,1.7,1.6,1.6,2.4,2.4,1.6,1.6,1.2,1.2,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:15,
311816378489998,253419267010854,2011,72,13,4,3,2011,1.375,1.375,1.0,1.0,1.6,1.6,1.7,1.7,1.2,1.2,1,2,,,20.0,1,2015-03-17 15:12:15,
311815869489998,253419266010854,2011,72,13,5,2,2011,1.0,1.0,1.8,1.8,0.5,0.5,0.7,0.7,1.0,1.0,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:15,
311815872489998,253419266010854,2011,72,13,5,3,2011,1.55,1.55,1.9,1.9,2.3,2.3,1.1,1.1,0.9,0.9,1,2,,,4.9,1,2015-03-17 15:12:15,
311815875489998,253419266010854,2011,72,13,5,4,2011,1.675,1.675,1.3,1.3,1.1,1.1,1.8,1.8,2.5,2.5,1,2,,,3.8,1,2015-03-17 15:12:15,
311817054489998,253419279010854,2011,72,13,10,2,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:15,
311817055489998,253419279010854,2011,72,13,10,3,2011,3.475,1.925,5.3,1.2,1.5,1.3,4.4,3.0,2.7,2.2,2,2,,,0.0,1,2015-03-17 15:12:15,
311817056489998,253419279010854,2011,72,13,10,4,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:15,
311813572489998,253419230010854,2011,72,13,12,2,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311813573489998,253419230010854,2011,72,13,12,3,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311813574489998,253419230010854,2011,72,13,12,4,2011,6.625,3.875,5.0,2.0,8.0,5.0,6.5,4.0,7.0,4.5,2,2,,,3.1,1,2015-03-17 15:12:14,
311813128489998,253419226010854,2011,72,23,15,2,2011,2.025,2.025,1.9,1.9,1.8,1.8,1.8,1.8,2.6,2.6,1,2,2.0,2.0,4.0,1,2015-03-17 15:12:14,
311813129489998,253419226010854,2011,72,23,15,3,2011,2.0,2.0,1.5,1.5,2.0,2.0,2.5,2.5,2.0,2.0,1,2,,,3.5,1,2015-03-17 15:12:14,
311813130489998,253419226010854,2011,72,23,15,4,2011,3.525,3.525,2.5,2.5,3.0,3.0,2.6,2.6,6.0,6.0,1,2,,,3.3,1,2015-03-17 15:12:14,
311809764489998,253419179010854,2011,72,23,16,3,2011,0.975,0.975,1.3,1.3,0.9,0.9,0.6,0.6,1.1,1.1,1,2,,,1.5,1,2015-03-17 15:12:14,
311809765489998,253419179010854,2011,72,23,16,4,2011,1.325,1.325,2.3,2.3,1.4,1.4,0.8,0.8,0.8,0.8,1,2,,,4.0,1,2015-03-17 15:12:14,
311811470489998,253419206010854,2011,72,23,17,2,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311811471489998,253419206010854,2011,72,23,17,3,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311811472489998,253419206010854,2011,72,23,17,4,2011,1.225,1.225,0.1,0.1,2.0,2.0,1.3,1.3,1.5,1.5,2,2,,,3.1,1,2015-03-17 15:12:14,
311815668489998,253419262010854,2011,72,25,3,2,2011,1.975,1.925,2.3,2.2,3.5,3.4,1.0,1.0,1.1,1.1,1,2,1.0,1.0,3.1,1,2015-03-17 15:12:15,
311815669489998,253419262010854,2011,72,25,3,3,2011,1.125,1.125,1.3,1.3,1.3,1.3,1.2,1.2,0.7,0.7,1,2,,,1.3,1,2015-03-17 15:12:15,
311815670489998,253419262010854,2011,72,25,3,4,2011,1.375,1.375,1.5,1.5,0.5,0.5,1.5,1.5,2.0,2.0,1,2,,,3.6,1,2015-03-17 15:12:15,
311814067489998,253419239010854,2011,72,29,3,2,2011,1.175,1.175,1.8,1.8,0.4,0.4,1.5,1.5,1.0,1.0,1,2,2.0,2.0,15.4,1,2015-03-17 15:12:14,
311814068489998,253419239010854,2011,72,29,3,3,2011,1.275,1.275,2.0,2.0,1.1,1.1,1.0,1.0,1.0,1.0,1,2,,,6.0,1,2015-03-17 15:12:14,
311814069489998,253419239010854,2011,72,29,3,4,2011,0.875,0.875,0.9,0.9,0.6,0.6,1.2,1.2,0.8,0.8,1,2,,,11.8,1,2015-03-17 15:12:14,
311812327489998,253419216010854,2011,72,35,4,2,2011,2.025,2.025,1.3,1.3,3.0,3.0,2.0,2.0,1.8,1.8,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:14,
311812328489998,253419216010854,2011,72,35,4,3,2011,1.6,1.6,1.0,1.0,1.4,1.4,2.0,2.0,2.0,2.0,1,2,,,20.0,1,2015-03-17 15:12:14,
311812329489998,253419216010854,2011,72,35,4,4,2011,2.65,2.4,1.3,1.2,1.5,1.5,3.0,2.6,4.8,4.3,1,2,,,20.0,1,2015-03-17 15:12:14,
311814859489998,253419252010854,2011,72,37,3,2,2011,0.925,0.925,0.2,0.2,1.3,1.3,0.5,0.5,1.7,1.7,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:14,
311814125489998,253419237010854,2011,72,39,5,2,2011,1.55,1.55,1.3,1.3,1.2,1.2,1.6,1.6,2.1,2.1,1,2,9.0,9.0,8.0,1,2015-03-17 15:12:14,
311814126489998,253419237010854,2011,72,39,5,3,2011,,,,,,,,,,,2,2,,,,2,2015-03-17 15:12:14,
311814127489998,253419237010854,2011,72,39,5,4,2011,,,,,,,,,,,2,2,,,,2,2015-03-17 15:12:14,
311815344489998,253419259010854,2011,72,45,1,2,2011,0.375,0.375,0.0,0.0,0.8,0.8,0.0,0.0,0.7,0.7,1,2,2.0,2.0,4.1,1,2015-03-17 15:12:15,
311809763489998,253419179010854,2011,72,23,16,2,2011,1.3,1.3,1.2,1.2,0.8,0.8,2.2,2.2,1.0,1.0,1,2,1.0,1.0,5.3,1,2015-03-17 15:12:14,
311817428489998,253419288010854,2011,72,23,19,2,2011,3.95,3.875,3.5,3.2,4.3,4.3,5.0,5.0,3.0,3.0,2,2,2.0,2.0,2.2,1,2015-03-17 15:12:15,
311817429489998,253419288010854,2011,72,23,19,3,2011,1.575,1.575,1.8,1.8,0.7,0.7,2.5,2.5,1.3,1.3,1,2,,,1.4,1,2015-03-17 15:12:15,
311817430489998,253419288010854,2011,72,23,19,4,2011,1.25,1.25,1.3,1.3,1.8,1.8,0.9,0.9,1.0,1.0,1,2,,,2.5,1,2015-03-17 15:12:15,
311814860489998,253419252010854,2011,72,37,3,3,2011,0.425,0.425,0.4,0.4,0.0,0.0,0.3,0.3,1.0,1.0,1,2,,,20.0,1,2015-03-17 15:12:14,
311814861489998,253419252010854,2011,72,37,3,4,2011,2.8,2.8,3.2,3.2,3.4,3.4,0.6,0.6,4.0,4.0,1,2,,,20.0,1,2015-03-17 15:12:14,
311815443489998,253419260010854,2011,72,37,18,2,2011,1.925,1.925,1.8,1.8,2.0,2.0,1.6,1.6,2.3,2.3,1,2,1.0,1.0,1.5,1,2015-03-17 15:12:15,
311815444489998,253419260010854,2011,72,37,18,3,2011,1.7,1.7,0.6,0.6,2.5,2.5,1.7,1.7,2.0,2.0,1,2,,,1.5,1,2015-03-17 15:12:15,
311815445489998,253419260010854,2011,72,37,18,4,2011,1.95,1.95,2.0,2.0,2.2,2.2,2.1,2.1,1.5,1.5,1,2,,,1.0,1,2015-03-17 15:12:15,
311815345489998,253419259010854,2011,72,45,1,3,2011,1.75,1.75,2.5,2.5,2.5,2.5,1.0,1.0,1.0,1.0,1,2,,,5.0,1,2015-03-17 15:12:15,
311815346489998,253419259010854,2011,72,45,1,4,2011,1.35,1.35,1.8,1.8,1.4,1.4,1.6,1.6,0.6,0.6,1,2,,,2.7,1,2015-03-17 15:12:15,
311809518489998,253419169010854,2011,72,55,8,2,2011,0.425,0.425,0.3,0.3,0.1,0.1,0.3,0.3,1.0,1.0,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:14,
311809519489998,253419169010854,2011,72,55,8,3,2011,,,,,,,,,,,2,2,,,,2,2015-03-17 15:12:14,
311809520489998,253419169010854,2011,72,55,8,4,2011,1.975,1.975,1.3,1.3,0.9,0.9,2.8,2.8,2.9,2.9,1,2,,,2.0,1,2015-03-17 15:12:14,
311810268489998,253419185010854,2011,72,55,12,2,2011,2.225,2.225,2.0,2.0,2.0,2.0,1.4,1.4,3.5,3.5,1,2,1.0,1.0,11.4,1,2015-03-17 15:12:14,
311810269489998,253419185010854,2011,72,55,12,3,2011,1.65,1.65,1.4,1.4,1.5,1.5,2.0,2.0,1.7,1.7,1,2,,,20.0,1,2015-03-17 15:12:14,
311810270489998,253419185010854,2011,72,55,12,4,2011,0.9,0.9,0.6,0.6,0.9,0.9,1.2,1.2,0.9,0.9,1,2,,,20.0,1,2015-03-17 15:12:14,
311810459489998,253419188010854,2011,72,55,17,2,2011,1.0,1.0,0.5,0.5,1.0,1.0,1.4,1.4,1.1,1.1,1,2,9.0,9.0,2.6,1,2015-03-17 15:12:14,
311810460489998,253419188010854,2011,72,55,17,3,2011,0.875,0.875,0.5,0.5,1.2,1.2,0.7,0.7,1.1,1.1,1,2,,,4.2,1,2015-03-17 15:12:14,
311810461489998,253419188010854,2011,72,55,17,4,2011,1.75,1.75,2.0,2.0,2.2,2.2,1.9,1.9,0.9,0.9,1,2,,,2.2,1,2015-03-17 15:12:14,
311812602489998,253419218010854,2011,72,57,8,2,2011,2.025,2.025,1.6,1.6,1.2,1.2,4.0,4.0,1.3,1.3,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:14,
311812603489998,253419218010854,2011,72,57,8,3,2011,5.15,3.45,5.5,3.5,6.0,4.5,4.9,3.5,4.2,2.3,1,2,,,20.0,1,2015-03-17 15:12:14,
311812604489998,253419218010854,2011,72,57,8,4,2011,3.55,3.55,2.2,2.2,3.5,3.5,4.4,4.4,4.1,4.1,1,2,,,20.0,1,2015-03-17 15:12:14,
311809844489998,253419180010854,2011,72,57,13,2,2011,1.625,1.625,1.2,1.2,0.4,0.4,1.9,1.9,3.0,3.0,1,2,1.0,1.0,6.4,1,2015-03-17 15:12:14,
311809845489998,253419180010854,2011,72,57,13,3,2011,1.7,1.7,2.0,2.0,0.7,0.7,2.4,2.4,1.7,1.7,1,2,,,7.5,1,2015-03-17 15:12:14,
311809846489998,253419180010854,2011,72,57,13,4,2011,1.1,1.1,0.8,0.8,1.1,1.1,1.0,1.0,1.5,1.5,1,2,,,3.8,1,2015-03-17 15:12:14,
311817657489998,253419290010854,2011,72,59,5,2,2011,1.975,1.925,0.9,0.9,1.5,1.5,2.7,2.5,2.8,2.8,1,2,2.0,2.0,2.0,1,2015-03-17 15:12:15,
311817658489998,253419290010854,2011,72,59,5,3,2011,3.7,3.7,4.0,4.0,3.4,3.4,3.0,3.0,4.4,4.4,1,2,,,2.0,1,2015-03-17 15:12:15,
311817659489998,253419290010854,2011,72,59,5,4,2011,2.125,2.125,2.0,2.0,1.8,1.8,2.3,2.3,2.4,2.4,1,2,,,2.0,1,2015-03-17 15:12:15,
311809455489998,253419173010854,2011,72,59,12,2,2011,1.025,1.025,0.7,0.7,1.6,1.6,1.2,1.2,0.6,0.6,1,2,9.0,9.0,5.0,1,2015-03-17 15:12:14,
311809456489998,253419173010854,2011,72,59,12,3,2011,0.3,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.7,0.7,1,2,,,9.0,1,2015-03-17 15:12:14,
311809457489998,253419173010854,2011,72,59,12,4,2011,1.1,1.1,1.4,1.4,1.3,1.3,0.9,0.9,0.8,0.8,1,2,,,2.4,1,2015-03-17 15:12:14,
311814681489998,253419249010854,2011,72,63,2,2,2011,2.425,2.425,2.5,2.5,2.0,2.0,2.7,2.7,2.5,2.5,1,2,1.0,1.0,1.5,1,2015-03-17 15:12:14,
311814682489998,253419249010854,2011,72,63,2,3,2011,3.625,3.525,2.0,2.0,6.0,6.0,4.0,3.6,2.5,2.5,1,2,,,1.9,1,2015-03-17 15:12:14,
311814683489998,253419249010854,2011,72,63,2,4,2011,9.625,9.625,8.0,8.0,10.5,10.5,11.0,11.0,9.0,9.0,1,2,,,2.5,1,2015-03-17 15:12:14,
311816935489998,253419277010854,2011,72,65,4,2,2011,0.175,0.175,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.3,1,2,9.0,9.0,0.9,1,2015-03-17 15:12:15,
311816936489998,253419277010854,2011,72,65,4,3,2011,1.1,1.1,1.6,1.6,0.8,0.8,0.6,0.6,1.4,1.4,1,2,,,2.6,1,2015-03-17 15:12:15,
311816937489998,253419277010854,2011,72,65,4,4,2011,0.4,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.8,0.8,1,2,,,2.0,1,2015-03-17 15:12:15,
311816758489998,253419273010854,2011,72,65,5,2,2011,1.625,1.625,0.5,0.5,2.0,2.0,2.9,2.9,1.1,1.1,2,2,9.0,9.0,2.2,1,2015-03-17 15:12:15,
311816759489998,253419273010854,2011,72,65,5,3,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:15,
311816760489998,253419273010854,2011,72,65,5,4,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:15,
311812125489998,253419213010854,2011,72,69,1,2,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311812126489998,253419213010854,2011,72,69,1,3,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311812127489998,253419213010854,2011,72,69,1,4,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311812171489998,253419215010854,2011,72,69,5,2,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311812172489998,253419215010854,2011,72,69,5,3,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311812173489998,253419215010854,2011,72,69,5,4,2011,,,,,,,,,,,1,2,,,,2,2015-03-17 15:12:14,
311817354489998,253419287010854,2011,72,71,2,2,2011,3.85,3.0,3.6,2.8,4.2,3.2,3.6,2.5,4.0,3.5,1,2,9.0,9.0,7.0,1,2015-03-17 15:12:15,
311817355489998,253419287010854,2011,72,71,2,3,2011,3.65,1.85,3.5,2.0,4.1,2.4,3.0,1.0,4.0,2.0,1,2,,,20.0,1,2015-03-17 15:12:15,
311817356489998,253419287010854,2011,72,71,2,4,2011,,,,,,,,,,,1,2,,,,6,2015-03-17 15:12:15,
311818361489998,253419303010854,2011,72,71,7,2,2011,2.1,2.1,2.0,2.0,1.7,1.7,2.2,2.2,2.5,2.5,1,2,2.0,2.0,3.5,1,2015-03-17 15:12:15,
311818362489998,253419303010854,2011,72,71,7,3,2011,1.425,1.425,1.0,1.0,1.8,1.8,2.2,2.2,0.7,0.7,1,2,,,1.6,1,2015-03-17 15:12:15,
311810982489998,253419196010854,2011,72,73,13,2,2011,1.125,1.125,1.7,1.7,0.3,0.3,1.3,1.3,1.2,1.2,1,2,2.0,2.0,13.1,1,2015-03-17 15:12:14,
311810983489998,253419196010854,2011,72,73,13,3,2011,1.7,1.7,2.0,2.0,0.6,0.6,2.0,2.0,2.2,2.2,1,2,,,8.0,1,2015-03-17 15:12:14,
311810984489998,253419196010854,2011,72,73,13,4,2011,1.6,1.6,0.8,0.8,1.6,1.6,3.7,3.7,0.3,0.3,1,2,,,15.1,1,2015-03-17 15:12:14,
311818085489998,253419297010854,2011,72,73,15,2,2011,1.85,1.85,0.4,0.4,2.7,2.7,1.4,1.4,2.9,2.9,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:15,
311818086489998,253419297010854,2011,72,73,15,3,2011,0.975,0.975,0.8,0.8,0.6,0.6,1.8,1.8,0.7,0.7,1,2,,,20.0,1,2015-03-17 15:12:15,
311818087489998,253419297010854,2011,72,73,15,4,2011,1.375,1.375,1.2,1.2,0.7,0.7,1.2,1.2,2.4,2.4,1,2,,,20.0,1,2015-03-17 15:12:15,
311809907489998,253419181010854,2011,72,75,5,2,2011,2.325,1.2,1.8,1.8,1.7,1.0,1.6,1.6,4.2,0.4,1,2,2.0,2.0,2.0,1,2015-03-17 15:12:14,
311809908489998,253419181010854,2011,72,75,5,3,2011,0.225,0.225,0.1,0.1,0.3,0.3,0.1,0.1,0.4,0.4,1,2,,,2.0,1,2015-03-17 15:12:14,
311809909489998,253419181010854,2011,72,75,5,4,2011,,,,,,,,,,,2,2,,,,2,2015-03-17 15:12:14,
311812887489998,253419223010854,2011,72,75,9,2,2011,0.65,0.65,0.8,0.8,1.0,1.0,0.4,0.4,0.4,0.4,1,2,1.0,1.0,16.6,1,2015-03-17 15:12:14,
311812888489998,253419223010854,2011,72,75,9,3,2011,1.125,1.125,1.8,1.8,1.0,1.0,0.4,0.4,1.3,1.3,1,2,,,7.9,1,2015-03-17 15:12:14,
311812889489998,253419223010854,2011,72,75,9,4,2011,1.125,1.125,1.9,1.9,0.5,0.5,0.8,0.8,1.3,1.3,1,2,,,16.1,1,2015-03-17 15:12:14,
311810172489998,253419184010854,2011,72,79,6,2,2011,0.15,0.15,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,1,2,2.0,2.0,1.7,1,2015-03-17 15:12:14,
311810173489998,253419184010854,2011,72,79,6,3,2011,1.675,1.675,0.8,0.8,1.7,1.7,1.5,1.5,2.7,2.7,1,2,,,3.2,1,2015-03-17 15:12:14,
311810174489998,253419184010854,2011,72,79,6,4,2011,0.325,0.325,0.0,0.0,0.5,0.5,0.5,0.5,0.3,0.3,1,2,,,1.9,1,2015-03-17 15:12:14,
311810116489998,253419183010854,2011,72,79,9,2,2011,0.95,0.95,0.6,0.6,1.0,1.0,0.8,0.8,1.4,1.4,1,2,9.0,9.0,3.1,1,2015-03-17 15:12:14,
311810117489998,253419183010854,2011,72,79,9,3,2011,1.65,1.65,2.3,2.3,1.4,1.4,1.7,1.7,1.2,1.2,1,2,,,2.5,1,2015-03-17 15:12:14,
311810118489998,253419183010854,2011,72,79,9,4,2011,0.575,0.575,0.0,0.0,0.7,0.7,0.1,0.1,1.5,1.5,1,2,,,2.2,1,2015-03-17 15:12:14,
311815161489998,253419257010854,2011,72,81,8,2,2011,3.475,3.475,3.4,3.4,4.5,4.5,0.8,0.8,5.2,5.2,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:15,
311815162489998,253419257010854,2011,72,81,8,3,2011,,,,,,,,,,,1,2,,,,4,2015-03-17 15:12:15,
311815163489998,253419257010854,2011,72,81,8,4,2011,1.125,1.125,0.5,0.5,0.3,0.3,2.0,2.0,1.7,1.7,1,2,,,20.0,1,2015-03-17 15:12:15,
311815563489998,253419261010854,2011,72,83,2,2,2011,1.95,1.95,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.3,1,2,2.0,2.0,14.7,1,2015-03-17 15:12:15,
311815565489998,253419261010854,2011,72,83,2,4,2011,2.225,2.225,1.0,1.0,2.3,2.3,2.6,2.6,3.0,3.0,1,2,,,20.0,1,2015-03-17 15:12:15,
311817179489998,253419282010854,2011,72,87,3,2,2011,0.475,0.475,1.2,1.2,0.0,0.0,0.0,0.0,0.7,0.7,1,2,1.0,1.0,20.0,1,2015-03-17 15:12:15,
311817180489998,253419282010854,2011,72,87,3,3,2011,0.6,0.1,1.2,0.1,0.0,0.0,0.3,0.3,0.9,0.0,1,2,,,17.0,1,2015-03-17 15:12:15,
311817181489998,253419282010854,2011,72,87,3,4,2011,0.625,0.625,0.6,0.6,0.8,0.8,0.5,0.5,0.6,0.6,1,2,,,20.0,1,2015-03-17 15:12:15,
311813862489998,253419235010854,2011,72,89,3,2,2011,3.325,1.275,2.8,0.8,3.5,1.3,4.0,1.5,3.0,1.5,1,2,1.0,1.0,3.0,1,2015-03-17 15:12:14,
311813863489998,253419235010854,2011,72,89,3,3,2011,4.625,3.2,8.5,4.0,2.5,2.0,5.5,5.2,2.0,1.6,1,2,,,3.2,1,2015-03-17 15:12:14,
311813864489998,253419235010854,2011,72,89,3,4,2011,1.325,1.25,0.9,0.9,2.0,1.7,1.5,1.5,0.9,0.9,1,2,,,7.9,1,2015-03-17 15:12:14,
311814343489998,253419243010854,2011,72,89,5,2,2011,0.575,0.575,0.6,0.6,0.6,0.6,0.7,0.7,0.4,0.4,1,2,2.0,2.0,10.4,1,2015-03-17 15:12:14,
311814344489998,253419243010854,2011,72,89,5,3,2011,4.275,2.375,3.0,1.5,5.0,3.0,3.0,2.0,6.1,3.0,1,2,,,12.0,1,2015-03-17 15:12:14,
311814345489998,253419243010854,2011,72,89,5,4,2011,2.75,2.75,2.5,2.5,3.0,3.0,1.5,1.5,4.0,4.0,1,2,,,20.0,1,2015-03-17 15:12:14,
311816719489998,253419271010854,2011,72,91,1,2,2011,2.875,2.375,2.0,1.2,3.0,2.5,2.5,2.2,4.0,3.6,1,2,1.0,1.0,5.5,1,2015-03-17 15:12:15,
311816720489998,253419271010854,2011,72,91,1,3,2011,0.5,0.5,0.6,0.6,0.7,0.7,0.4,0.4,0.3,0.3,2,2,,,7.0,1,2015-03-17 15:12:15,
311816721489998,253419271010854,2011,72,91,1,4,2011,2.875,2.875,2.0,2.0,4.0,4.0,3.0,3.0,2.5,2.5,1,2,,,9.2,1,2015-03-17 15:12:15,
311816874489998,253419274010854,2011,72,93,4,2,2011,2.5,1.8,2.5,1.5,3.0,2.5,2.5,2.2,2.0,1.0,1,2,1.0,1.0,6.3,1,2015-03-17 15:12:15,
311816875489998,253419274010854,2011,72,93,4,3,2011,2.45,1.775,2.5,2.0,3.0,2.5,1.3,1.1,3.0,1.5,1,2,,,4.9,1,2015-03-17 15:12:15,
311816876489998,253419274010854,2011,72,93,4,4,2011,2.275,1.675,2.0,1.5,3.5,1.7,2.1,2.0,1.5,1.5,1,2,,,4.0,1,2015-03-17 15:12:15,
311811273489998,253419201010854,2011,72,93,6,4,2011,1.825,0.95,2.3,1.3,2.5,0.5,2.0,1.5,0.5,0.5,1,2,,,0.0,1,2015-03-17 15:12:14,
311810668489998,253419193010854,2011,72,97,39,2,2011,2.475,2.475,1.5,1.5,2.2,2.2,2.8,2.8,3.4,3.4,1,2,1.0,1.0,8.0,1,2015-03-17 15:12:14,
311810669489998,253419193010854,2011,72,97,39,3,2011,,,,,,,,,,,1,2,,,,6,2015-03-17 15:12:14,
311810670489998,253419193010854,2011,72,97,39,4,2011,2.125,2.025,2.0,2.0,2.2,2.2,2.8,2.4,1.5,1.5,1,2,,,4.5,1,2015-03-17 15:12:14,
311815235489998,253419258010854,2011,72,97,168,2,2011,2.65,2.65,1.8,1.8,4.3,4.3,3.0,3.0,1.5,1.5,1,2,2.0,2.0,20.0,1,2015-03-17 15:12:15,
311815236489998,253419258010854,2011,72,97,168,3,2011,,,,,,,,,,,2,2,,,,2,2015-03-17 15:12:15,
